"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.135551666E-1,6.475413020E0,-6.058235233E0,6.785121907E0,1.116561988E1
6.235881667E-1,5.905224125E0,-7.096759790E0,4.998647836E0,1.049867381E1
6.336201667E-1,4.561732481E0,-8.018740568E0,3.644163135E0,9.919149584E0
6.436521667E-1,3.345736451E0,-9.055900970E0,3.031862592E0,1.011906545E1
6.536841667E-1,2.352187946E0,-1.015096986E1,2.761884951E0,1.077974887E1
6.637171666E-1,1.400325703E0,-1.099799868E1,2.562862395E0,1.137915422E1
6.737491667E-1,1.079021495E0,-1.140286925E1,2.150212253E0,1.165388893E1
6.837811667E-1,1.213103413E0,-1.154359185E1,1.569210687E0,1.171275181E1
6.938141667E-1,1.907706147E0,-1.129755973E1,1.204252117E0,1.152060857E1
7.038461667E-1,2.695237802E0,-1.088012583E1,9.921350136E-1,1.125281195E1
7.138781666E-1,3.032283007E0,-1.058128049E1,8.672116631E-1,1.104129943E1
7.239101666E-1,2.974431240E0,-1.039331589E1,6.263338602E-1,1.082869108E1
7.339431667E-1,2.793944065E0,-1.016115337E1,4.974588883E-1,1.055000600E1
7.439751667E-1,2.469680874E0,-9.725034694E0,9.512414145E-1,1.007871438E1
7.540071667E-1,1.984334493E0,-9.212479464E0,1.801521295E0,9.594417139E0
7.640401666E-1,2.055629593E0,-8.774330054E0,2.702783049E0,9.408481128E0
7.740721666E-1,1.945991376E0,-8.337300385E0,3.358668737E0,9.196636115E0
7.841041667E-1,2.156501665E0,-7.957068815E0,3.478206875E0,8.947813511E0
7.941361667E-1,2.435562370E0,-7.640789997E0,3.005361257E0,8.564218127E0
8.041691667E-1,2.856290002E0,-7.359792693E0,2.159196646E0,8.184562983E0
8.142011666E-1,3.745646240E0,-6.982657809E0,1.354673567E0,8.038813115E0
8.242331666E-1,4.495562173E0,-6.398257840E0,8.664181960E-1,7.867557634E0
8.342661667E-1,4.681719393E0,-5.682345806E0,7.938590006E-1,7.405252355E0
8.442981667E-1,3.909263613E0,-4.892957075E0,1.165730002E0,6.370423641E0
8.543301667E-1,2.644988585E0,-4.579708284E0,1.887253317E0,5.615284290E0
8.643621667E-1,1.649684892E0,-4.400152862E0,2.909271623E0,5.526903910E0
8.743951666E-1,8.320166874E-1,-4.227082588E0,3.428091559E0,5.505659880E0
8.844271667E-1,5.821955681E-2,-4.073207553E0,2.968726112E0,5.040609488E0
8.944591667E-1,-7.621588326E-1,-3.655524275E0,1.987619312E0,4.230174268E0
9.044921667E-1,-2.363501869E0,-3.091010687E0,9.548408143E-1,4.006520826E0
9.145241667E-1,-4.358567757E0,-2.686592402E0,9.136859179E-3,5.120056162E0
9.245561666E-1,-6.073601716E0,-2.267118998E0,-5.996540384E-1,6.510610672E0
9.345881667E-1,-7.636689929E0,-1.794240050E0,-1.005500067E0,7.908815387E0
9.446211667E-1,-9.219026592E0,-1.594260012E0,-1.846885164E0,9.536409235E0
9.546531667E-1,-1.078365262E1,-1.472177166E0,-3.173041860E0,1.133678368E1
9.646851667E-1,-1.240326119E1,-1.092125690E0,-4.169768765E0,1.313090242E1
9.747181666E-1,-1.340122186E1,-7.067307365E-1,-4.272845821E0,1.408365816E1
9.847501667E-1,-1.352767375E1,-4.559129593E-1,-3.640885770E0,1.401648539E1
9.947821667E-1,-1.322924121E1,-4.491165943E-1,-3.036980368E0,1.358078711E1
1.004814167E0,-1.289069211E1,-2.956301071E-1,-3.005615318E0,1.323975315E1
1.014847167E0,-1.253603275E1,1.086120307E-3,-3.376772302E0,1.298286214E1
1.024879167E0,-1.196834412E1,7.318667471E-2,-4.325696465E0,1.272628254E1
1.034911167E0,-1.118397172E1,-3.123144060E-3,-5.020622842E0,1.225919601E1
1.044944167E0,-1.004042240E1,2.514975160E-2,-4.556320006E0,1.102591340E1
1.054976167E0,-8.625827733E0,-1.281709671E-3,-3.388873115E0,9.267651629E0
1.065008167E0,-7.006726118E0,-3.812797565E-1,-2.144585916E0,7.337495069E0
1.075040167E0,-4.703342396E0,-6.448115002E-1,-3.659690416E-1,4.761422571E0
1.085073167E0,-1.716651299E0,2.001061184E-1,1.587576352E0,2.346770721E0
1.095105167E0,1.034747255E0,9.751369384E-1,1.768873659E0,2.269473056E0
1.105137167E0,3.667016392E0,1.260467906E0,4.921320748E-1,3.908705993E0
1.115170167E0,5.853435336E0,1.330493576E0,-9.287987776E-1,6.074173652E0
1.125202167E0,7.240462716E0,1.243696045E0,-2.099853401E0,7.640710995E0
1.135234167E0,7.880561507E0,7.930353472E-1,-3.036649708E0,8.482534773E0
1.145266167E0,7.893192077E0,4.049204514E-1,-2.946908981E0,8.435088279E0
1.155299167E0,7.769871376E0,6.383118449E-2,-2.086864396E0,8.045494305E0
1.165331167E0,8.106430677E0,-1.783473864E-2,-8.029558794E-1,8.146120214E0
1.175363167E0,9.195720175E0,1.184507477E-1,8.026893926E-1,9.231446819E0
1.185396167E0,1.039502094E1,1.233115837E-1,2.356694395E0,1.065953445E1
1.195428167E0,1.125491014E1,-4.674122398E-1,3.680632803E0,1.185067653E1
1.205460167E0,1.202297700E1,-1.435572134E0,4.685787885E0,1.298342988E1
1.215492167E0,1.222724831E1,-1.907621801E0,5.168307137E0,1.341104100E1
1.225525167E0,1.208551180E1,-2.074512738E0,5.030470723E0,1.325401201E1
1.235557167E0,1.168290060E1,-2.521598886E0,4.335595801E0,1.271400874E1
1.245589167E0,1.061110363E1,-2.299473250E0,3.539408512E0,1.141974212E1
1.255621167E0,9.450665209E0,-1.921802030E0,2.913316727E0,1.007451291E1
1.265654167E0,8.624447790E0,-1.787533001E0,2.393495893E0,9.127168044E0
1.275686167E0,8.365326090E0,-1.571802903E0,2.485263119E0,8.867117780E0
1.285718167E0,7.986803076E0,-1.091374031E0,2.702981855E0,8.502131001E0
1.295751167E0,7.435803573E0,-8.611861074E-1,2.447370822E0,7.875432701E0
1.305783167E0,7.402617116E0,-1.123134425E0,2.278545334E0,7.826361859E0
1.315815167E0,7.965261349E0,-1.022864105E0,2.078224404E0,8.295218864E0
1.325847750E0,8.518903794E0,-7.921052013E-1,1.734322900E0,8.729663706E0
1.335880750E0,8.824231946E0,-6.945036969E-1,1.469933882E0,8.972742638E0
1.345912750E0,8.724966105E0,-5.745855631E-1,1.311272024E0,8.841641048E0
1.355944750E0,8.362634032E0,-4.673240564E-1,1.339441278E0,8.482107206E0
1.365977750E0,8.049155445E0,-2.699176341E-1,1.550613617E0,8.201595058E0
1.376009750E0,7.960408745E0,9.323641174E-3,1.293180885E0,8.064769750E0
1.386041750E0,7.733889949E0,2.390933424E-1,6.473523346E-1,7.764617468E0
1.396073750E0,7.401958719E0,7.505346409E-1,2.858984399E-1,7.445403485E0
1.406106750E0,6.873931172E0,1.047494112E0,1.858186662E-1,6.955767553E0
1.416138750E0,6.011941658E0,1.289546109E0,6.002763283E-1,6.177920632E0
1.426170750E0,3.593179507E0,1.452374547E0,1.153853284E0,4.043724545E0
1.436203750E0,7.191315114E-2,1.130949814E0,1.429100582E0,1.823882522E0
1.446235750E0,-3.837283804E0,9.026406737E-1,1.616973960E0,4.260764246E0
1.456267750E0,-6.649184083E0,1.206711675E0,1.049016362E0,6.838730684E0
1.466299750E0,-8.580969064E0,1.736882958E0,-2.524041268E-1,8.758624340E0
