"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.967881667E-1,5.753954390E-1,9.910486740E-1,-4.219479454E-1,1.221186904E0
6.068201667E-1,5.996966134E-1,1.383126411E0,-2.829602140E-1,1.533864785E0
6.168521667E-1,4.488018680E-1,1.703028310E0,-3.309757948E-2,1.761483463E0
6.268841667E-1,2.950085481E-1,1.908199652E0,2.313614595E-1,1.944680971E0
6.369161667E-1,1.847485161E-1,1.874648475E0,1.496910596E-1,1.889668312E0
6.469491667E-1,1.460472484E-1,1.712705013E0,-1.141405731E-1,1.722706107E0
6.569811667E-1,2.176047152E-1,1.461976698E0,-4.719141573E-1,1.551589717E0
6.670131667E-1,2.474940006E-1,1.182692921E0,-9.560285300E-1,1.540781093E0
6.770451667E-1,2.789729794E-1,1.003774846E0,-1.253092228E0,1.629610382E0
6.870771667E-1,4.331638552E-1,9.064216295E-1,-1.463020134E0,1.774727869E0
6.971091667E-1,5.586592826E-1,9.230414629E-1,-1.500173927E0,1.847871085E0
7.071411667E-1,7.243789490E-1,1.033331060E0,-1.410773508E0,1.892823244E0
7.171731667E-1,8.328534970E-1,1.255151618E0,-1.270105872E0,1.970334859E0
7.272061667E-1,9.275384103E-1,1.475603927E0,-1.088281438E0,2.054772722E0
7.372381667E-1,9.465469775E-1,1.604893466E0,-9.254996324E-1,2.080428751E0
7.472701667E-1,8.023737891E-1,1.674598563E0,-7.944839948E-1,2.019724947E0
7.573021667E-1,5.826553785E-1,1.692868626E0,-6.880243242E-1,1.917985648E0
7.673341667E-1,3.828648270E-1,1.617542309E0,-6.378803569E-1,1.780426900E0
7.773661667E-1,2.662081239E-1,1.504950517E0,-5.823323929E-1,1.635498041E0
7.873981667E-1,1.718828144E-1,1.388265821E0,-5.357832938E-1,1.497961758E0
7.974301667E-1,9.338091105E-2,1.265328112E0,-5.181241179E-1,1.370484522E0
8.074621667E-1,1.365805788E-1,1.226769525E0,-4.808188820E-1,1.324690349E0
8.174951667E-1,1.898294542E-1,1.277920968E0,-4.311742669E-1,1.361994299E0
8.275271667E-1,1.864143513E-1,1.329923180E0,-3.906641722E-1,1.398593748E0
8.375591667E-1,7.567141246E-2,1.423276902E0,-2.908329052E-1,1.454657032E0
8.475911667E-1,-8.922153074E-2,1.534038515E0,-1.952677667E-1,1.548988104E0
8.576231667E-1,-2.434671693E-1,1.633991112E0,-1.677887768E-1,1.660528918E0
8.676551667E-1,-4.065395819E-1,1.658186744E0,-1.789797628E-1,1.716651236E0
8.776871667E-1,-4.437910965E-1,1.620838677E0,-1.931300247E-1,1.691557791E0
8.877191667E-1,-3.476293959E-1,1.592831537E0,-2.177298456E-1,1.644799316E0
8.977511667E-1,-3.056932383E-1,1.528701907E0,-2.710172760E-1,1.582348963E0
9.077841667E-1,-2.507154509E-1,1.465309904E0,-3.008597106E-1,1.516742535E0
9.178161667E-1,-3.563668171E-1,1.453165237E0,-3.014537877E-1,1.526289913E0
9.278481667E-1,-5.220430314E-1,1.501685286E0,-2.597075915E-1,1.610911437E0
9.378801667E-1,-5.730638252E-1,1.521516849E0,-1.941117722E-1,1.637404974E0
9.479121667E-1,-5.186304502E-1,1.511951096E0,-1.074718237E-1,1.602037407E0
9.579441667E-1,-2.357796522E-1,1.508313251E0,-1.474667788E-3,1.526631286E0
9.679761667E-1,1.000804680E-1,1.478611588E0,1.327686328E-1,1.487930052E0
9.780081667E-1,4.543858493E-1,1.409410230E0,2.749278939E-1,1.506150405E0
9.880411667E-1,6.785076883E-1,1.223419509E0,2.992219055E-1,1.430615856E0
9.980731667E-1,7.390150414E-1,1.042785423E0,4.323793781E-1,1.349257794E0
1.008105167E0,7.299573389E-1,9.411369874E-1,6.244615817E-1,1.344815531E0
1.018137167E0,7.155435137E-1,8.813118582E-1,7.117610961E-1,1.339894387E0
1.028169167E0,7.906648859E-1,8.380422431E-1,8.247702330E-1,1.416937437E0
1.038201167E0,9.742123474E-1,8.532379872E-1,8.926037818E-1,1.572846551E0
1.048233167E0,1.491023034E0,8.660555955E-1,9.178315938E-1,1.953360391E0
1.058265167E0,1.463434555E0,8.741850525E-1,9.510250676E-1,1.951996128E0
1.068297167E0,1.197561587E0,7.974414434E-1,7.793245035E-1,1.636280322E0
1.078330167E0,1.232631213E0,6.889321044E-1,5.887099510E-1,1.529897564E0
1.088362167E0,1.546601258E0,5.359018096E-1,6.504068470E-1,1.761304990E0
1.098394167E0,1.855642685E0,4.349599005E-1,7.551088446E-1,2.050070549E0
1.108426167E0,1.596723152E0,3.268460160E-1,9.161095887E-1,1.869655027E0
1.118458167E0,1.317223466E0,1.527458278E-1,1.085011675E0,1.713376574E0
1.128490167E0,8.685739182E-1,-3.665210187E-2,1.157594333E0,1.447683897E0
1.138522167E0,4.629003089E-1,-2.874293871E-1,1.106242915E0,1.233152763E0
1.148554167E0,6.551531050E-2,-4.880586120E-1,1.022590894E0,1.134982644E0
1.158586167E0,-3.561060313E-2,-5.986111875E-1,9.055401617E-1,1.086096889E0
1.168619167E0,6.120901890E-3,-5.352388084E-1,7.130153239E-1,8.915766370E-1
1.178651167E0,3.205750600E-2,-4.638933488E-1,5.857372266E-1,7.478721959E-1
1.188683167E0,3.656432786E-1,-3.537500785E-1,4.295200896E-1,6.658240252E-1
1.198715167E0,6.692344429E-1,-1.768427882E-1,4.247242033E-1,8.121199174E-1
1.208747167E0,7.219402215E-1,5.930885654E-2,4.027737558E-1,8.288195957E-1
1.218779167E0,5.984697580E-1,2.316472787E-1,3.960950661E-1,7.541338172E-1
1.228811167E0,2.676641720E-1,2.155607845E-1,3.774313384E-1,5.104556552E-1
1.238843167E0,-1.102976277E-1,7.789050389E-2,2.204698509E-1,2.585332714E-1
1.248876167E0,-4.333286005E-1,-1.705426326E-2,3.121185243E-2,4.347858135E-1
1.258908167E0,-7.312446034E-1,-4.044573884E-2,-1.404115283E-1,7.457009622E-1
1.268940167E0,-7.519378996E-1,-2.900971793E-2,-2.145869672E-1,7.824958371E-1
1.278972167E0,-6.014890043E-1,6.508605178E-2,-2.268456548E-1,6.461301475E-1
1.289004167E0,-4.117681622E-1,2.175928929E-1,-1.650470173E-1,4.941054587E-1
1.299036167E0,-2.430061164E-1,3.139123039E-1,-5.124616742E-2,4.002737523E-1
1.309068167E0,-1.488159507E-1,3.517036992E-1,2.466647923E-2,3.826880118E-1
1.319100167E0,-1.125359510E-1,4.103162985E-1,9.446176887E-3,4.255737719E-1
1.329132167E0,-1.217920934E-1,4.174352836E-1,3.793088794E-3,4.348562033E-1
1.339165167E0,-1.607802310E-1,4.386938594E-1,-8.552663863E-2,4.749919903E-1
1.349197167E0,-2.832622227E-1,5.210991446E-1,-2.313719845E-1,6.366433857E-1
1.359229167E0,-3.876771221E-1,6.533048733E-1,-2.825509089E-1,8.105157768E-1
1.369261167E0,-4.768840713E-1,8.050556877E-1,-2.109798199E-1,9.591900552E-1
1.379293167E0,-5.647911114E-1,8.999231071E-1,-5.984040499E-2,1.064157635E0
1.389325167E0,-6.463799427E-1,9.432149416E-1,1.311226416E-1,1.150936403E0
1.399357167E0,-6.743141384E-1,9.251336697E-1,3.609790277E-1,1.200365662E0
1.409389167E0,-6.515158445E-1,7.629311036E-1,6.521972644E-1,1.196619420E0
1.419422167E0,-6.681836982E-1,5.952764473E-1,9.927601540E-1,1.336561344E0
1.429454167E0,-7.656306168E-1,4.672639398E-1,1.328053533E0,1.602576681E0
1.439486167E0,-7.820637779E-1,3.165508965E-1,1.463817694E0,1.689553333E0
1.449518167E0,-7.159229980E-1,2.240775647E-1,1.440649272E0,1.624261930E0
1.459550167E0,-6.282438532E-1,1.933278250E-1,1.225160664E0,1.390354142E0
1.469582167E0,-5.565220521E-1,1.871743614E-1,8.979136384E-1,1.072846652E0
1.479614167E0,-5.015812484E-1,2.366018986E-1,5.534570879E-1,7.835042791E-1
1.489646167E0,-4.482616583E-1,3.301580617E-1,1.450881314E-1,5.753202811E-1
1.499678167E0,-3.954604970E-1,4.629817314E-1,-1.523568052E-1,6.276572985E-1
1.509711167E0,-3.158841312E-1,5.993159962E-1,-2.829075891E-1,7.341656160E-1
1.519743167E0,-3.033354217E-1,6.480109504E-1,-4.663774288E-1,8.540717042E-1
1.529775167E0,-3.642494486E-1,6.284441934E-1,-6.833290100E-1,9.972754388E-1
1.539807167E0,-4.278078787E-1,5.583055991E-1,-9.107628947E-1,1.150744878E0
1.549839458E0,-4.761908839E-1,4.424237982E-1,-1.121353290E0,1.296121050E0
1.559871458E0,-5.098571782E-1,3.379824768E-1,-1.300780365E0,1.437433843E0
1.569903458E0,-4.542298383E-1,2.930518504E-1,-1.456945462E0,1.553992989E0
1.579935458E0,-3.460710398E-1,3.016055595E-1,-1.510285517E0,1.578509874E0
1.589968458E0,-2.460337315E-1,3.112722129E-1,-1.430337707E0,1.484347986E0
1.600000458E0,-1.418995716E-1,4.375067284E-1,-1.312262542E0,1.390532490E0
1.610032458E0,-9.382975794E-2,5.126253963E-1,-9.535440481E-1,1.086662354E0
1.620064458E0,-9.492537998E-2,6.175050762E-1,-4.715118688E-1,7.827175667E-1
1.630096458E0,-1.136707128E-1,6.207898226E-1,-4.195845008E-2,6.325041868E-1
1.640128458E0,-1.338721485E-1,5.194467580E-1,2.429804617E-1,5.888855503E-1
1.650160458E0,-7.409032535E-2,4.067887464E-1,3.935860258E-1,5.708558664E-1
1.660192458E0,6.504563291E-2,2.932481707E-1,4.298294073E-1,5.243841563E-1
1.670224458E0,2.372174094E-1,1.859867737E-1,4.285576379E-1,5.239511698E-1
1.680257458E0,3.829400368E-1,1.604867738E-1,3.684815902E-1,5.551376034E-1
1.690289458E0,4.897708595E-1,2.142962144E-1,3.438215429E-1,6.356190806E-1
1.700321458E0,6.026325370E-1,3.187124294E-1,4.065773696E-1,7.937560990E-1
1.710353458E0,7.251575788E-1,3.505900604E-1,5.198461229E-1,9.586484736E-1
1.720385458E0,8.160814168E-1,2.713095637E-1,5.422836435E-1,1.016695288E0
1.730417458E0,8.046710140E-1,1.033213969E-1,5.054724973E-1,9.558625410E-1
1.740449458E0,6.511900084E-1,-7.905399017E-2,4.300679737E-1,7.843828290E-1
1.750481458E0,3.891781754E-1,-2.322992798E-1,3.392724091E-1,5.661522544E-1
1.760514458E0,1.850510364E-1,-2.577397842E-1,1.826523989E-1,3.661087015E-1
1.770546458E0,1.809724573E-1,-1.751436239E-1,-7.698444128E-3,2.519634603E-1
1.780578458E0,3.827076466E-1,-5.046735484E-2,-2.063985264E-1,4.377355918E-1
1.790610458E0,6.743797003E-1,2.205592037E-1,-3.013795280E-1,7.708851811E-1
1.800642458E0,9.375709167E-1,4.982864886E-1,-2.206897062E-1,1.084450365E0
1.810674458E0,1.043900706E0,7.591103867E-1,6.578994691E-2,1.292403026E0
1.820706458E0,1.034829774E0,8.813253799E-1,4.374383891E-1,1.427921367E0
1.830738458E0,8.670144658E-1,7.742654926E-1,8.377814573E-1,1.432856904E0
1.840770458E0,6.287028596E-1,4.463119774E-1,1.253257704E0,1.471433498E0
1.850803458E0,4.331613701E-1,4.509331598E-2,1.444425403E0,1.508650697E0
1.860835458E0,2.082686122E-1,-3.131298368E-1,1.439733013E0,1.488038057E0
1.870867458E0,2.573006948E-2,-5.936678783E-1,1.278743379E0,1.410066741E0
1.880899458E0,-1.407606071E-1,-7.070513101E-1,1.077250666E0,1.296226871E0
1.890931458E0,-4.096608622E-1,-6.217698160E-1,7.276894963E-1,1.041130025E0
1.900963458E0,-6.277675974E-1,-5.279256593E-1,1.057135659E-1,8.270266115E-1
1.910995458E0,-8.433352889E-1,-1.424599724E-1,-3.865138185E-1,9.385638951E-1
1.921027458E0,-7.711079961E-1,1.552698150E-1,-6.578427511E-1,1.025413742E0
1.931059458E0,-4.830529935E-1,1.509980950E-1,-1.045389773E0,1.161456153E0
1.941092458E0,-1.536332158E-1,3.320351641E-1,-1.153441640E0,1.210073606E0
1.951124458E0,8.020548966E-2,4.398978741E-1,-9.980986619E-1,1.093683683E0
1.961156458E0,4.159969416E-1,4.185396034E-1,-7.392710763E-1,9.459125643E-1
1.971188458E0,7.464733842E-1,3.389544302E-1,-4.909573692E-1,9.555897433E-1
1.981220458E0,8.892906763E-1,3.521210077E-1,-2.393510950E-1,9.859594605E-1
1.991252458E0,8.435022269E-1,4.552848221E-1,-8.138505578E-2,9.619791076E-1
2.001284458E0,6.979452219E-1,5.234785594E-1,-8.650487781E-2,8.767214089E-1
2.011316458E0,3.924697924E-1,4.998707917E-1,-1.674291730E-1,6.572182851E-1
2.021349458E0,8.782062924E-2,4.274446935E-1,-2.851383018E-1,5.212727502E-1
2.031381458E0,-1.563686712E-1,3.541547424E-1,-3.955618000E-1,5.534852125E-1
2.041413458E0,-3.293402555E-1,2.958910391E-1,-4.781168836E-1,6.516227937E-1
2.051445458E0,-4.168897749E-1,2.174284399E-1,-5.618794173E-1,7.326531857E-1
2.061477458E0,-4.912834246E-1,1.718082442E-1,-5.831194282E-1,7.816045954E-1
2.071509458E0,-4.970131843E-1,2.627410539E-1,-5.194754094E-1,7.654473644E-1
2.081541458E0,-3.128472336E-1,4.581600077E-1,-3.809086776E-1,6.729601807E-1
2.091573458E0,-3.408077280E-2,6.511123867E-1,-2.859762079E-1,7.119629419E-1
2.101605458E0,2.081305083E-1,8.238607717E-1,-3.538881093E-1,9.204899096E-1
2.111638458E0,3.029899974E-1,9.663365865E-1,-6.484398437E-1,1.202532148E0
2.121670458E0,1.923251372E-1,1.098980966E0,-1.048470671E0,1.531025431E0
2.131702458E0,-1.536277798E-2,1.161193002E0,-1.379153520E0,1.802961351E0
2.141734458E0,-1.772809639E-1,1.118702674E0,-1.566753248E0,1.933297689E0
2.151766458E0,-1.460809430E-1,1.108670095E0,-1.605520288E0,1.956574664E0
2.161798458E0,3.075433522E-2,1.179457437E0,-1.488813956E0,1.899640143E0
2.171830458E0,1.014488992E-1,1.302101397E0,-1.255619980E0,1.811723340E0
2.181862458E0,1.287369410E-1,1.311775323E0,-8.963594484E-1,1.593984931E0
2.191895458E0,1.849346768E-1,1.182976438E0,-5.173967242E-1,1.304351739E0
2.201927458E0,1.789390516E-1,9.716261239E-1,-1.851292795E-1,1.005161360E0
2.211959458E0,1.663801094E-1,7.122106008E-1,6.308619440E-2,7.341022740E-1
2.221991458E0,1.146525151E-1,5.784590146E-1,2.787940729E-1,6.522930061E-1
2.232023458E0,2.619979276E-2,5.227027070E-1,4.914958978E-1,7.179643212E-1
2.242055458E0,-1.658325359E-1,4.873203280E-1,6.571913713E-1,8.347946038E-1
2.252087458E0,-3.337643685E-1,4.642212680E-1,7.124066287E-1,9.134677028E-1
